Wed Jun 09 19:25:10 2010

Number of Points = 6000
Depth (nm)	Load (µN)	Time (s)
-132.684620	0.516774	0.000000

-130.742970	0.600044	0.016667
-127.344956	0.619640	0.033333
-123.623321	0.640908	0.050000
-119.416228	0.636591	0.066667
-115.856354	0.607315	0.083333
-112.296595	0.693838	0.100000
-108.574954	0.708263	0.116667
-104.853323	0.733128	0.133333
-100.969806	0.682718	0.150000
-97.248195	0.727675	0.166667
-93.688378	0.755497	0.183333
-89.804888	0.732568	0.200000
-85.921407	0.718560	0.216667
-82.361617	0.773126	0.233333
-78.478093	0.716658	0.250000
-74.594577	0.667703	0.266667
-71.196592	0.715715	0.283333
-67.474994	0.773937	0.300000
-63.591501	0.748201	0.316667
-59.708080	0.793741	0.333333
-55.986444	0.813535	0.350000
-52.102909	0.745936	0.366667
-48.543128	0.809897	0.383333
-44.659607	0.755377	0.400000
-41.099840	0.833705	0.416667
-37.216264	0.724631	0.433333
-33.494671	0.786866	0.450000
-29.934857	0.817483	0.466667
-26.051436	0.864318	0.483333
-22.329724	0.808072	0.500000
-18.446318	0.868631	0.516667
-15.048370	0.954594	0.533333
-11.164906	0.957472	0.550000
-7.119607	0.936831	0.566667
-3.236156	0.952216	0.583333
0.000000	1.019035	0.600000
4.045281	1.016540	0.616667
7.443266	1.064289	0.633333
11.488535	1.073693	0.650000
15.210268	0.996468	0.666667
18.931921	0.999937	0.683333
22.815409	0.978740	0.700000
26.537051	0.992378	0.716667
30.096847	1.040843	0.733333
33.818400	1.143609	0.750000
37.701868	1.143324	0.766667
41.585410	1.068055	0.783333
44.983426	1.086022	0.800000
49.028639	1.151302	0.816667
52.912168	1.089146	0.833333
56.310170	1.120205	0.850000
60.193609	1.148816	0.866667
63.915201	1.212248	0.883333
67.636872	1.196973	0.900000
71.682221	1.126315	0.916667
75.080202	1.178552	0.933333
78.801776	1.260707	0.950000
82.685186	1.318261	0.966667
86.406835	1.324209	0.983333
90.128481	1.334205	1.000000
93.850123	1.348251	1.016667
97.571761	1.366347	1.033333
101.455147	1.447216	1.050000
105.338706	1.355320	1.066667
109.222172	1.355895	1.083333
112.620112	1.449575	1.100000
116.665502	1.338238	1.116667
119.901593	1.469198	1.133333
123.785044	1.485505	1.150000
127.830331	1.476205	1.166667
131.552025	1.438032	1.183333
135.273716	1.402982	1.200000
138.833470	1.493877	1.216667
142.555061	1.559169	1.233333
146.276836	1.440276	1.250000
149.998324	1.607292	1.266667
153.719998	1.589187	1.283333
157.441574	1.669743	1.300000
161.486826	1.695077	1.316667
165.208490	1.687244	1.333333
168.930151	1.682543	1.350000
172.813552	1.748747	1.366667
176.211426	1.907933	1.383333
180.095015	1.785526	1.400000
183.978405	1.862959	1.416667
187.861890	1.845185	1.433333
191.421789	1.790131	1.450000
195.467009	1.848684	1.466667
198.865063	1.828643	1.483333
202.586695	1.852608	1.500000
206.308222	1.981137	1.516667
210.029847	2.011822	1.533333
213.751469	2.045649	1.550000
217.796770	2.023413	1.566667
221.518385	2.063532	1.583333
225.401839	2.077198	1.600000
228.799871	2.078737	1.616667
232.683214	2.202761	1.633333
236.404922	2.150519	1.650000
240.288363	2.176343	1.666667
244.010066	2.129141	1.683333
247.569820	2.219993	1.700000
