Time,Extension,Load
(sec),(mm),(N)
0.00000,9.92186,0.00011
0.10000,9.92186,0.00010
0.20000,9.91977,-0.00007
0.30000,9.91144,-0.00094
0.40000,9.90415,-0.00170
0.50000,9.89852,-0.00223
0.60000,9.89269,-0.00285
0.70000,9.88748,-0.00346
0.80000,9.88228,-0.00399
0.90000,9.87727,-0.00461
1.00000,9.87227,-0.00516
1.10000,9.86728,-0.00580
1.20000,9.86227,-0.00645
1.30000,9.85727,-0.00702
1.40000,9.85207,-0.00780
1.50000,9.84707,-0.00845
1.60000,9.84186,-0.00920
1.70000,9.83707,-0.00993
1.80000,9.83228,-0.01067
1.90000,9.82727,-0.01139
2.00000,9.82227,-0.01224
2.10000,9.81728,-0.01301
2.20000,9.81207,-0.01388
2.30000,9.80707,-0.01468
2.40000,9.80207,-0.01555
2.50000,9.79707,-0.01643
2.60000,9.79207,-0.01730
2.70000,9.78707,-0.01813
2.80000,9.78228,-0.01901
2.90000,9.77727,-0.01991
3.00000,9.77207,-0.02092
3.10000,9.76686,-0.02191
3.20000,9.76165,-0.02291
3.30000,9.75665,-0.02392
3.40000,9.75207,-0.02482
3.50000,9.74707,-0.02574
3.60000,9.74186,-0.02688
3.70000,9.73686,-0.02783
3.80000,9.73186,-0.02891
3.90000,9.72644,-0.02998
4.00000,9.72165,-0.03107
4.10000,9.71665,-0.03217
4.20000,9.71186,-0.03317
4.30000,9.70727,-0.03417
4.40000,9.70227,-0.03528
4.50000,9.69707,-0.03642
4.60000,9.69186,-0.03765
4.70000,9.68665,-0.03882
4.80000,9.68165,-0.03996
4.90000,9.67665,-0.04119
5.00000,9.67207,-0.04226
5.10000,9.66707,-0.04342
5.20000,9.66228,-0.04462
5.30000,9.65707,-0.04580
5.40000,9.65207,-0.04705
5.50000,9.64686,-0.04840
5.60000,9.64207,-0.04966
5.70000,9.63707,-0.05095
5.80000,9.63228,-0.05211
5.90000,9.62728,-0.05341
6.00000,9.62248,-0.05465
6.10000,9.61707,-0.05603
6.20000,9.61186,-0.05748
6.30000,9.60665,-0.05892
6.40000,9.60186,-0.06020
6.50000,9.59707,-0.06148
6.60000,9.59228,-0.06273
6.70000,9.58727,-0.06416
6.80000,9.58248,-0.06546
6.90000,9.57686,-0.06704
7.00000,9.57144,-0.06859
7.10000,9.56644,-0.07008
7.20000,9.56165,-0.07141
7.30000,9.55686,-0.07282
7.40000,9.55207,-0.07414
7.50000,9.54707,-0.07558
7.60000,9.54248,-0.07691
7.70000,9.53707,-0.07852
7.80000,9.53144,-0.08024
7.90000,9.52665,-0.08177
8.00000,9.52165,-0.08318
8.10000,9.51686,-0.08471
8.20000,9.51207,-0.08612
8.30000,9.50686,-0.08761
8.40000,9.50227,-0.08910
8.50000,9.49728,-0.09061
8.60000,9.49207,-0.09229
8.70000,9.48665,-0.09405
8.80000,9.48165,-0.09564
8.90000,9.47686,-0.09728
9.00000,9.47207,-0.09877
9.10000,9.46707,-0.10045
9.20000,9.46228,-0.10197
9.30000,9.45686,-0.10377
9.40000,9.45165,-0.10561
9.50000,9.44665,-0.10728
9.60000,9.44186,-0.10885
9.70000,9.43728,-0.11040
9.80000,9.43228,-0.11200
9.90000,9.42728,-0.11379
10.00000,9.42248,-0.11531
10.02000,9.42144,-0.11567
10.02200,9.42144,-0.11570
10.12200,9.41998,-0.11604
10.22200,9.41998,-0.11531
10.32200,9.41998,-0.11456
10.42200,9.41998,-0.11391
10.52200,9.41998,-0.11327
10.62200,9.41998,-0.11272
10.72200,9.41998,-0.11219
10.82200,9.41998,-0.11169
10.92200,9.41998,-0.11122
11.02200,9.41998,-0.11070
11.12200,9.41998,-0.11025
11.22200,9.41998,-0.10985
11.32200,9.42040,-0.10937
11.42200,9.42040,-0.10898
11.52200,9.42040,-0.10853
11.62200,9.42061,-0.10808
11.72200,9.42061,-0.10768
11.82200,9.42061,-0.10730
11.92200,9.42082,-0.10690
12.02200,9.42082,-0.10650
12.12200,9.42082,-0.10615
12.22200,9.42082,-0.10579
12.32200,9.42103,-0.10544
12.42200,9.42103,-0.10508
12.52200,9.42103,-0.10466
12.62200,9.42103,-0.10433
12.72200,9.42123,-0.10402
12.82200,9.42123,-0.10370
12.92200,9.42123,-0.10335
13.02200,9.42123,-0.10304
13.12200,9.42123,-0.10276
13.22200,9.42123,-0.10244
13.32200,9.42123,-0.10217
13.42200,9.42123,-0.10183
13.52200,9.42144,-0.10153
13.62200,9.42144,-0.10126
13.72200,9.42144,-0.10100
13.82200,9.42144,-0.10072
13.92200,9.42144,-0.10048
14.02200,9.42144,-0.10017
14.12200,9.42144,-0.09991
14.22200,9.42144,-0.09961
14.32200,9.42144,-0.09939
14.42200,9.42144,-0.09914
14.52200,9.42144,-0.09884
14.62200,9.42144,-0.09864
14.72200,9.42144,-0.09839
14.82200,9.42144,-0.09812
14.92200,9.42144,-0.09788
15.02200,9.42144,-0.09760
15.12200,9.42144,-0.09738
15.22200,9.42144,-0.09716
15.32200,9.42144,-0.09694
15.42200,9.42144,-0.09667
15.52200,9.42144,-0.09642
15.62200,9.42144,-0.09620
15.72200,9.42144,-0.09596
15.82200,9.42144,-0.09575
15.92200,9.42144,-0.09556
16.02200,9.42144,-0.09530
16.12200,9.42144,-0.09508
16.22200,9.42144,-0.09486
16.32200,9.42144,-0.09465
16.42200,9.42144,-0.09443
16.52200,9.42144,-0.09420
16.62200,9.42144,-0.09400
16.72200,9.42144,-0.09379
16.82200,9.42144,-0.09358
16.92200,9.42144,-0.09337
17.02200,9.42144,-0.09316
17.12200,9.42144,-0.09298
17.22200,9.42144,-0.09278
17.32200,9.42144,-0.09256
17.42200,9.42144,-0.09237
17.52200,9.42144,-0.09215
17.62200,9.42144,-0.09197
17.72200,9.42144,-0.09175
17.82200,9.42144,-0.09154
17.92200,9.42144,-0.09138
18.02200,9.42144,-0.09116
18.12200,9.42144,-0.09100
18.22200,9.42144,-0.09082
18.32200,9.42144,-0.09062
18.42200,9.42144,-0.09038
18.52200,9.42144,-0.09022
18.62200,9.42144,-0.09007
18.72200,9.42144,-0.08985
18.82200,9.42144,-0.08966
18.92200,9.42144,-0.08948
19.02200,9.42144,-0.08934
19.12200,9.42144,-0.08917
19.22200,9.42144,-0.08896
19.32200,9.42144,-0.08880
19.42200,9.42144,-0.08864
19.52200,9.42144,-0.08845
19.62200,9.42144,-0.08828
19.72200,9.42144,-0.08809
19.82200,9.42144,-0.08797
19.92200,9.42144,-0.08780
20.02200,9.42144,-0.08757
20.12200,9.42144,-0.08747
20.22200,9.42144,-0.08730
20.32200,9.42144,-0.08707
20.42200,9.42144,-0.08696
20.52200,9.42144,-0.08678
20.62200,9.42144,-0.08662
20.72200,9.42144,-0.08647
20.82200,9.42144,-0.08628
20.92200,9.42144,-0.08613
21.02200,9.42144,-0.08595
21.12200,9.42144,-0.08583
21.22200,9.42144,-0.08567
21.32200,9.42144,-0.08548
21.42200,9.42144,-0.08536
21.52200,9.42144,-0.08514
21.62200,9.42144,-0.08503
21.72200,9.42144,-0.08491
21.82200,9.42144,-0.08473
21.92200,9.42144,-0.08460
22.02200,9.42144,-0.08443
22.12200,9.42144,-0.08432
22.22200,9.42144,-0.08411
